Question,Answer,Source_Article,Source_URL
Apa yang dimaksud dengan **Salah satu contoh sukses perusahaan yang go public**?,"Salah satu contoh sukses perusahaan yang go public adalah perusahaan milik Mark Zuckeberg, Facebook.",PERUSAHAAN GO PUBLIC? SIMAK MANFAATNYA!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10519
Apa yang dimaksud dengan **Capital Gain Capital Gain**?,Capital Gain Capital Gain adalah keuntungan ketika investor menjual saham dengan harga yang lebih tinggi dari harga belinya.,SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Saham**?,"Saham merupakan aset yang likuid, jadi mudah untuk diperjualbelikan (via Bursa) Risiko memiliki Saham Tidak Mendapatkan Dividen Umumnya perusahaan membagi dividen ketika perusahaan menunjukkan kinerja yang baik.",SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Capital Loss Capital Loss**?,Capital Loss Capital Loss merupakan kebalikan Capital Gain.,SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Kemungkinan terburuknya**?,"Kemungkinan terburuknya adalah jika tidak lagi aktiva yang tersisa, maka pemegang saham tidak akan memperoleh apa-apa.",SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
"Apa yang dimaksud dengan **Mudahnya, pasar modal**?","Mudahnya, pasar modal adalah sebuah ‘pasar’, yang mempertemukan dua kepentingan yaitu pihak pemilik dana (investor) dan pihak yang memerlukan dana (issuer).","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Pembeli di pasar modal**?,"Pembeli di pasar modal adalah seorang investor, sedangkan penjual dapat berupa perusahaan publik atau intitusi lain seperti pemerintah, yang membutuhkan sejumlah dana tambahan untuk menjalankan berbagai tujuan dalam rangka pengembangan perusahaan/ institusi.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Obligasi Obligasi**?,"Obligasi Obligasi adalah surat perjanjian utang piutang jangka menengah maupun jangka panjang yang berisikan berisi janji dari penerbit efek untuk membayar imbalan berupa bunga (kupon) pada periode tertentu dan melunasi pokok utang pada akhir waktu yang telah ditentukan, kepada pembeli obligasi tersebut.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Sukuk Sukuk**?,Sukuk Sukuk adalah Efek Syariah berupa sertifikat atau bukti kepemilikan (bukan berbasis utang) yang bernilai sama dan mewakili bagian yang tidak terpisahkan atau tidak terbagi.,"MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Saham Saham (stock)**?,Saham Saham (stock) merupakan salah satu instrumen pasar keuangan yang paling populer.,"MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
